date_time,Twitter,Netflix,DailyMotion,Google,Deezer
2019-05-01 15:36:00,375669389.190904,1597084905.0268464,89376493.17627977,758926114.1283371,273407730.10119647
2019-05-01 15:42:00,406014813.3897781,1554630552.4496884,52866782.04575357,726383158.6948758,319695911.38568884
2019-05-01 15:48:00,520071150.21478105,1380429258.8579369,50787117.07124928,1182202827.8210344,350913064.70654285
2019-05-01 15:54:00,411590725.5228947,1442843979.9513345,101764357.41316734,1242317137.4476068,436663406.3103723
2019-05-01 16:00:00,496601843.3504993,1627828605.4497185,117039283.89723182,860280315.2030361,338491351.00975627
2019-05-01 16:06:00,453918136.205013,1781789584.81122,689017878.8323642,1277674669.484188,303249830.2074728
2019-05-01 16:12:00,589509578.521575,959298045.4992608,291637308.78305084,772945534.7864217,292512912.02165246
2019-05-01 16:18:00,411933977.02535266,1008061453.0657595,124391397.5270977,1349390516.0145593,277870566.2987536
2019-05-01 16:24:00,446472869.19126105,1474076224.66054,176250919.0597713,909848002.0597532,264255623.3923336
2019-05-01 16:30:00,453172094.712532,1247885010.8161411,170217024.93389717,545789876.0549989,388483065.635571
2019-05-01 16:36:00,358643537.14133966,1309104048.4864762,95555715.26781054,586184239.0366259,362101117.71066946
2019-05-01 16:42:00,459675362.7946549,1333157906.032657,107612793.23016469,691580252.0066051,400717733.57909316
2019-05-01 16:48:00,330228269.4503393,1513551451.7236676,128529876.92076091,1320275320.1025832,246917381.14613545
2019-05-01 16:54:00,453433000.2272148,1433888142.5324125,279000950.5796373,1002255431.8654671,596747209.1710602
2019-05-01 17:00:00,413587131.5606085,1027952489.9250283,331380118.18178755,1321333858.8970647,694663487.799932
2019-05-01 17:06:00,387488108.1926215,999402579.9611193,174277298.88832057,507542436.60473835,193520968.71800888
2019-05-01 17:12:00,500832331.13106406,1263004065.899384,186698119.08027935,796830545.3165371,331695372.4693715
2019-05-01 17:18:00,328222542.20075613,1366759604.0007446,359383854.74974304,674794873.790643,453627272.93654716
2019-05-01 17:24:00,454926099.34099656,1685388865.2820199,384876798.82049483,618164530.8668765,323630785.06099474
2019-05-01 17:30:00,431496866.80738497,1346116726.4894485,287679711.58071184,647869742.5509865,231351335.26044065
2019-05-01 17:36:00,431354044.7500509,1705973474.9198005,262525941.48639044,704124492.2779543,251626908.18173444
2019-05-01 17:42:00,350969128.928618,1160972313.3125484,102737822.59533197,1207124083.383409,288897120.83606184
